timestamp,value
"20250513_143752","4"
"20250513_143758","4"
"20250513_143804","4"
"20250513_143810","4"
"20250513_143816","4"
"20250513_143821","4"
"20250513_143828","4"
"20250513_143834","4"
"20250513_143840","4"
"20250513_143846","4"
"20250513_143852","4"
"20250513_143858","4"
"20250513_143905","4"
"20250513_143911","4"
"20250513_143917","4"
"20250513_143923","4"
"20250513_143930","4"
"20250513_143936","4"
"20250513_143942","4"
"20250513_143948","4"
"20250513_143954","4"
"20250513_144001","4"
"20250513_144007","4"
"20250513_144013","4"
"20250513_144019","4"
"20250513_144025","4"
"20250513_144032","4"
"20250513_144038","4"
"20250513_144045","4"
"20250513_144051","4"
"20250513_144058","4"
"20250513_144105","4"
"20250513_144111","4"
"20250513_144117","4"
"20250513_144124","4"
"20250513_144130","4"
"20250513_144136","4"
"20250513_144143","4"
"20250513_144150","4"
"20250513_144156","4"
"20250513_144202","4"
"20250513_144209","4"
"20250513_144215","4"
"20250513_144222","4"
